name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Joshua Kitolano,Norway,Midfield,right,170.0,NL1,Sparta Rotterdam,4500000.0,2,0,5,2,2292,23
Antonino Gallo,Italy,Defender,left,183.0,IT1,US Lecce,4500000.0,2,0,0,3,2606,25
Zakaria El Ouahdi,Morocco,Defender,right,175.0,BE1,RWD Molenbeek,4500000.0,4,0,0,2,1495,23
Gerzino Nyamsi,France,Defender,right,194.0,FR1,RC Strasbourg Alsace,4500000.0,4,0,0,0,1903,28
Gue-sung Cho,"Korea, South",Attack,right,188.0,DK1,FC Midtjylland,4500000.0,5,0,11,2,2203,27
Hassane Kamara,Cote d'Ivoire,Defender,left,170.0,IT1,Udinese Calcio,4500000.0,4,0,1,1,2328,30
Formose Mendy,Senegal,Defender,right,191.0,FR1,FC Lorient,4500000.0,6,0,0,0,1254,24
Yasin Ayari,Sweden,Midfield,right,172.0,GB1,Brighton & Hove Albion,4500000.0,1,0,0,0,95,21
Cyriel Dessers,Nigeria,Attack,right,185.0,SC1,Rangers FC,4500000.0,1,0,18,7,2785,30
Niclas Eliasson,Sweden,Midfield,left,178.0,GR1,AEK Athens,4500000.0,2,0,5,10,2107,29
Víctor Méndez,Chile,Midfield,right,172.0,RU1,CSKA Moscow,4500000.0,2,0,1,0,2603,25
Marash Kumbulla,Albania,Defender,right,191.0,IT1,US Sassuolo,4500000.0,1,0,0,0,358,24
Troy Parrott,Ireland,Attack,right,185.0,NL1,Excelsior Rotterdam,4500000.0,2,1,10,4,1817,22
Youssef Maleh,Morocco,Midfield,left,179.0,IT1,FC Empoli,4500000.0,11,0,0,1,2610,26
Ki-Jana Hoever,Netherlands,Defender,right,183.0,GB1,Wolverhampton Wanderers,4500000.0,1,0,0,0,360,23
Cristian Volpato,Italy,Midfield,left,187.0,IT1,US Sassuolo,4500000.0,3,0,1,1,826,21
Roman Zobnin,Russia,Midfield,right,182.0,RU1,Spartak Moscow,4500000.0,1,0,3,0,1776,30
Adson,Brazil,Attack,left,171.0,FR1,FC Nantes,4500000.0,0,0,0,0,233,24
Youcef Atal,Algeria,Defender,both,176.0,TR1,Adana Demirspor,4300000.0,6,0,2,2,1180,28
Oğuz Aydın,Türkiye,Attack,right,183.0,TR1,Alanyaspor,4300000.0,3,1,13,7,2587,24
Emirhan Topçu,Türkiye,Defender,left,188.0,TR1,Caykur Rizespor,4300000.0,13,0,1,4,2793,24
Arthur Masuaku,DR Congo,Defender,left,179.0,TR1,Besiktas JK,4200000.0,5,1,0,2,1698,31
Alex Oxlade-Chamberlain,England,Midfield,right,180.0,TR1,Besiktas JK,4200000.0,0,0,4,1,999,31
Berkay Özcan,Türkiye,Midfield,right,178.0,TR1,Basaksehir FK,4200000.0,2,0,2,3,2825,26
Emmanuel Dennis,Nigeria,Attack,right,175.0,TR1,Basaksehir FK,4200000.0,2,0,0,0,347,27
Gaetano Oristanio,Italy,Midfield,left,174.0,IT1,Cagliari Calcio,4000000.0,2,0,2,1,1263,22
Maduka Okoye,Nigeria,Goalkeeper,right,197.0,IT1,Udinese Calcio,4000000.0,2,0,0,0,2010,25
Kevin Trapp,Germany,Goalkeeper,right,189.0,L1,Eintracht Frankfurt,4000000.0,2,0,0,0,3240,34
Juan Bernat,Spain,Defender,left,170.0,PO1,SL Benfica,4000000.0,1,0,0,0,203,31
Attila Szalai,Hungary,Defender,left,192.0,L1,TSG 1899 Hoffenheim,4000000.0,1,0,0,0,435,27
Lucas Vázquez,Spain,Defender,right,173.0,ES1,Real Madrid,4000000.0,2,0,3,8,1784,33
Cenk Özkacar,Türkiye,Defender,left,190.0,ES1,Valencia CF,4000000.0,3,0,0,1,1805,24
Mama Baldé,Guinea-Bissau,Attack,right,176.0,FR1,Olympique Lyon,4000000.0,1,0,2,3,542,29
Roberto Piccoli,Italy,Attack,right,190.0,IT1,FC Empoli,4000000.0,5,0,6,1,1579,24
Óscar Valentín,Spain,Midfield,right,177.0,ES1,Rayo Vallecano,4000000.0,8,0,2,0,2923,30
Tim Oermann,Germany,Defender,right,189.0,L1,VfL Bochum,4000000.0,2,0,0,0,708,21
Tim Iroegbunam,England,Midfield,right,183.0,GB1,Aston Villa,4000000.0,0,0,0,0,161,21
Ramón Terrats,Spain,Midfield,left,181.0,ES1,Villarreal CF,4000000.0,5,0,0,2,1035,24
Joseph Aidoo,Ghana,Defender,right,181.0,ES1,Celta de Vigo,4000000.0,0,0,0,1,406,29
Carlos Vicente,Spain,Attack,right,179.0,ES1,Deportivo Alavés,4000000.0,1,0,2,4,1275,25
João Mário,Portugal,Midfield,right,179.0,PO1,SL Benfica,4000000.0,14,0,9,5,6032,32
Javairô Dilrosun,Netherlands,Attack,left,175.0,NL1,Feyenoord Rotterdam,4000000.0,0,0,1,1,421,26
Ciro Immobile,Italy,Attack,right,185.0,IT1,SS Lazio,4000000.0,9,0,11,1,2359,34
Costinha,Portugal,Defender,right,181.0,PO1,Rio Ave FC,4000000.0,5,0,5,6,3231,24
Ihlas Bebou,Togo,Attack,right,185.0,L1,TSG 1899 Hoffenheim,4000000.0,3,0,7,7,1749,30
Adryelson,Brazil,Defender,right,182.0,FR1,Olympique Lyon,4000000.0,0,0,0,0,5,26
Alejandro Catena,Spain,Defender,right,194.0,ES1,CA Osasuna,4000000.0,10,2,1,3,2862,30
Bamba Dieng,Senegal,Attack,right,178.0,FR1,FC Lorient,4000000.0,3,0,4,1,543,24
Pedro Malheiro,Portugal,Defender,right,179.0,PO1,Boavista FC,4000000.0,10,0,2,2,2064,24
Deiver Machado,Colombia,Defender,left,180.0,FR1,RC Lens,4000000.0,5,0,4,0,1498,31
Lawrence Shankland,Scotland,Attack,right,185.0,SC1,Heart of Midlothian FC,4000000.0,11,0,26,7,3475,29
Thibault De Smet,Belgium,Defender,left,183.0,FR1,Stade Reims,4000000.0,7,1,0,1,1835,26
Georgios Masouras,Greece,Attack,right,184.0,GR1,Olympiacos Piraeus,4000000.0,3,0,9,6,2306,31
Josh Wilson-Esbrand,England,Defender,left,176.0,FR1,Stade Reims,4000000.0,1,0,1,1,460,22
Oleg Reabciuk,Moldova,Defender,left,177.0,RU1,Spartak Moscow,4000000.0,3,1,0,1,1242,27
Michail Antonio,Jamaica,Attack,right,180.0,GB1,West Ham United,4000000.0,8,0,7,2,2032,34
Enzo Loiodice,France,Midfield,left,177.0,ES1,UD Las Palmas,4000000.0,2,0,0,1,2011,24
Nazar Voloshyn,Ukraine,Attack,right,175.0,UKR1,Dynamo Kyiv,4000000.0,7,0,9,8,2009,21
Alfred Duncan,Ghana,Midfield,left,178.0,IT1,ACF Fiorentina,4000000.0,2,0,2,5,2127,31
Christiaan Ravych,Belgium,Defender,right,193.0,BE1,Cercle Brugge,4000000.0,2,0,0,2,1068,22
Alan Matturro,Uruguay,Defender,left,189.0,IT1,Genoa CFC,4000000.0,1,0,0,0,284,20
Jordan,United States,Attack,right,191.0,L1,1.FC Union Berlin,4000000.0,12,0,8,4,4118,28
Stole Dimitrievski,North Macedonia,Goalkeeper,right,188.0,ES1,Rayo Vallecano,4000000.0,1,0,0,0,3330,31
Manuel Lazzari,Italy,Midfield,right,174.0,IT1,SS Lazio,4000000.0,4,1,0,2,2249,31
Patrick Ciurria,Italy,Midfield,both,178.0,IT1,AC Monza,4000000.0,2,0,0,2,1692,29
Andreas Ndoj,Greece,Defender,right,190.0,GR1,Olympiacos Piraeus,4000000.0,3,1,1,0,1749,21
Luca Mazzitelli,Italy,Midfield,right,184.0,IT1,Frosinone Calcio,4000000.0,6,0,5,1,2463,29
Robert Ljubicic,Croatia,Midfield,left,178.0,GR1,AEK Athens,4000000.0,1,0,3,1,686,25
Luca Lipani,Italy,Midfield,right,185.0,IT1,US Sassuolo,4000000.0,0,0,0,0,500,19
Daniele Rugani,Italy,Defender,right,190.0,IT1,Juventus FC,4000000.0,2,0,3,0,1279,30
Sinaly Diomandé,Cote d'Ivoire,Defender,right,184.0,FR1,Olympique Lyon,4000000.0,2,0,0,0,890,23
Clinton Mata,Angola,Defender,right,180.0,FR1,Olympique Lyon,4000000.0,6,0,0,3,2222,32
Couhaib Driouech,Morocco,Attack,right,175.0,NL1,Excelsior Rotterdam,4000000.0,4,0,6,6,2171,22
Iago,Brazil,Defender,left,181.0,L1,FC Augsburg,4000000.0,4,0,1,1,1623,27
Enso González,Paraguay,Attack,left,169.0,GB1,Wolverhampton Wanderers,4000000.0,0,0,0,0,1,20
Andrea Carboni,Italy,Defender,left,187.0,IT1,AC Monza,4000000.0,1,0,1,0,1503,23
Nikolay Komlichenko,Russia,Attack,right,190.0,RU1,FK Rostov,4000000.0,5,0,6,3,1715,29
Emiliano Martínez,Uruguay,Midfield,right,185.0,DK1,FC Midtjylland,4000000.0,6,0,0,0,4060,25
Jordan Henderson,England,Midfield,right,187.0,NL1,Ajax Amsterdam,4000000.0,0,0,0,3,754,34
Jarne Steuckers,Belgium,Attack,left,179.0,BE1,Sint-Truidense VV,4000000.0,1,0,4,6,2457,22
Ricardo Mangas,Portugal,Defender,left,181.0,PO1,Vitória Guimarães SC,4000000.0,2,0,1,5,1907,26
Junior Adamu,Austria,Attack,right,183.0,L1,SC Freiburg,4000000.0,0,0,1,1,263,23
Srdjan Babic,Serbia,Defender,left,194.0,RU1,Spartak Moscow,4000000.0,6,0,3,0,1988,28
Eray Cömert,Switzerland,Defender,right,183.0,FR1,FC Nantes,4000000.0,5,0,2,0,1998,26
Mikel Vesga,Spain,Midfield,left,191.0,ES1,Athletic Bilbao,4000000.0,2,0,3,1,1818,31
Jordan Ayew,Ghana,Attack,right,182.0,GB1,Crystal Palace,4000000.0,9,0,4,8,2676,33
Chris Ramos,Spain,Attack,right,190.0,ES1,Cádiz CF,4000000.0,5,0,5,2,2652,28
Marco Bizot,Netherlands,Goalkeeper,right,193.0,FR1,Stade Brestois 29,4000000.0,3,1,0,0,2877,33
Han-Noah Massengo,France,Midfield,right,178.0,GB1,Burnley FC,4000000.0,0,0,0,0,38,23
Dimitri Lavalée,Belgium,Defender,left,187.0,BE1,KV Mechelen,4000000.0,0,0,0,0,577,28
Marvin Schwäbe,Germany,Goalkeeper,right,190.0,L1,1.FC Köln,4000000.0,0,0,0,0,3270,29
Faitout Maouassa,France,Defender,left,170.0,FR1,RC Lens,4000000.0,0,0,0,1,318,26
Yann Gboho,France,Midfield,right,178.0,FR1,FC Toulouse,4000000.0,1,0,3,7,2757,24
Bart Nieuwkoop,Netherlands,Defender,right,181.0,BE1,Union Saint-Gilloise,4000000.0,4,1,2,3,1543,28
Kelvin Yeboah,Italy,Attack,right,185.0,FR1,Montpellier HSC,4000000.0,0,0,4,1,705,24
Niklas Dorsch,Germany,Midfield,right,178.0,L1,FC Augsburg,4000000.0,5,0,0,0,1449,27
Ibrahim Sulemana,Ghana,Midfield,right,180.0,IT1,Cagliari Calcio,4000000.0,4,0,2,0,1586,21
Sverrir Ingi Ingason,Iceland,Defender,right,188.0,DK1,FC Midtjylland,4000000.0,5,0,1,1,1806,31
Marcos Acuña,Argentina,Defender,left,172.0,ES1,Sevilla FC,4000000.0,7,0,1,4,1590,33
Lucas Torró,Spain,Midfield,right,190.0,ES1,CA Osasuna,4000000.0,6,0,1,0,2141,30
Marcão,Brazil,Defender,left,185.0,ES1,Sevilla FC,4000000.0,5,0,7,1,1214,28
Matteo Darmian,Italy,Defender,right,183.0,IT1,Inter Milan,4000000.0,3,0,2,2,3116,35
Sydney van Hooijdonk,Netherlands,Attack,right,190.0,IT1,Bologna FC 1909,4000000.0,1,0,1,0,382,24
Benedict Hollerbach,Germany,Attack,right,181.0,L1,1.FC Union Berlin,4000000.0,2,0,5,0,1363,23
Marc Pubill,Spain,Defender,right,191.0,ES1,UD Almería,4000000.0,2,0,1,3,1890,21
Mihajlo Ilić,Serbia,Defender,right,192.0,IT1,Bologna FC 1909,4000000.0,0,0,0,0,390,21
Jorge de Frutos,Spain,Attack,right,173.0,ES1,Rayo Vallecano,4000000.0,1,0,2,0,1851,27
Arijon Ibrahimovic,Germany,Attack,right,176.0,IT1,Frosinone Calcio,4000000.0,2,0,2,1,594,19
Yannick Gerhardt,Germany,Midfield,left,184.0,L1,VfL Wolfsburg,4000000.0,6,0,3,1,1928,30
Cyle Larin,Canada,Attack,right,188.0,ES1,RCD Mallorca,4000000.0,8,0,7,3,2261,29
Nick Woltemade,Germany,Attack,right,198.0,L1,SV Werder Bremen,4000000.0,1,0,2,0,1184,22
Wilfried Kanga,Cote d'Ivoire,Attack,right,189.0,BE1,Standard Liège,4000000.0,4,0,9,3,2321,26
Chiquinho,Portugal,Midfield,right,175.0,GR1,Olympiacos Piraeus,4000000.0,13,1,5,5,2558,29
Calum Chambers,England,Defender,right,182.0,GB1,Aston Villa,4000000.0,1,0,0,1,240,30
Andraz Sporar,Slovenia,Attack,right,186.0,GR1,Panathinaikos FC,4000000.0,2,0,12,3,1539,30
Gabriel Pereira,Brazil,Defender,right,188.0,PO1,Gil Vicente FC,4000000.0,8,1,4,0,2869,24
Filippo Ranocchia,Italy,Midfield,both,186.0,IT1,FC Empoli,4000000.0,3,0,0,0,477,23
Raúl García,Spain,Attack,right,192.0,ES1,CA Osasuna,4000000.0,7,0,7,3,2075,24
Koki Saito,Japan,Attack,right,170.0,NL1,Sparta Rotterdam,4000000.0,0,0,3,5,1670,23
David Zima,Czech Republic,Defender,right,192.0,IT1,Torino FC,4000000.0,0,0,1,0,387,24
Álex Jiménez,Spain,Defender,right,177.0,IT1,AC Milan,4000000.0,1,0,0,0,207,19
Bojan Miovski,North Macedonia,Attack,left,189.0,SC1,Aberdeen FC,4000000.0,3,0,20,3,3375,25
Yira Sor,Nigeria,Attack,right,174.0,BE1,KRC Genk,4000000.0,1,0,6,1,1330,24
Georgios Vagiannidis,Greece,Defender,right,182.0,GR1,Panathinaikos FC,4000000.0,5,0,1,1,2146,23
Ibrahim Salah,Morocco,Attack,right,186.0,FR1,Stade Rennais FC,4000000.0,3,0,5,1,727,23
Martim Fernandes,Portugal,Defender,right,181.0,PO1,FC Porto,4000000.0,1,0,0,1,259,19
Momodou Lamin Sonko,Sweden,Attack,right,176.0,BE1,KAA Gent,4000000.0,1,0,3,1,664,19
Nick Olij,Netherlands,Goalkeeper,right,184.0,NL1,Sparta Rotterdam,4000000.0,0,0,0,0,3240,29
Dujon Sterling,England,Defender,right,186.0,SC1,Rangers FC,4000000.0,5,1,1,1,1369,25
Denis Huseinbasic,Bosnia-Herzegovina,Midfield,right,184.0,L1,1.FC Köln,4000000.0,5,0,0,4,1703,23
Takuma Asano,Japan,Attack,right,173.0,L1,VfL Bochum,4000000.0,2,0,7,1,2108,30
Luis Rioja,Spain,Attack,left,176.0,ES1,Deportivo Alavés,4000000.0,4,0,5,4,2617,31
Vincent Sierro,Switzerland,Midfield,right,185.0,FR1,FC Toulouse,4000000.0,9,0,6,3,3066,29
Steven Alzate,Colombia,Midfield,right,180.0,BE1,Standard Liège,4000000.0,4,0,1,4,1671,26
Matteo Lovato,Italy,Defender,right,188.0,IT1,US Salernitana 1919,4000000.0,4,0,0,0,1643,24
Davy Klaassen,Netherlands,Midfield,right,179.0,NL1,Ajax Amsterdam,4000000.0,1,0,1,0,475,31
Óscar Estupiñán,Colombia,Attack,left,182.0,FR1,FC Metz,4000000.0,0,0,1,0,352,28
Amin Sarr,Sweden,Attack,right,188.0,FR1,Olympique Lyon,4000000.0,0,0,0,0,474,23
Jacob Ondrejka,Sweden,Attack,right,180.0,BE1,Royal Antwerp FC,4000000.0,2,0,5,2,839,22
Jean Onana,Cameroon,Midfield,right,189.0,TR1,Besiktas JK,4000000.0,1,0,1,1,681,25
Mohamed Diomandé,Cote d'Ivoire,Midfield,left,183.0,DK1,FC Nordsjaelland,4000000.0,7,0,2,5,2320,23
Jackson Muleka,DR Congo,Attack,right,180.0,TR1,Besiktas JK,4000000.0,2,0,7,1,2118,25
Emin Bayram,Türkiye,Defender,right,192.0,TR1,Galatasaray,4000000.0,7,0,1,2,2054,21
Gabriel Slonina,United States,Goalkeeper,right,193.0,BE1,KAS Eupen,4000000.0,2,0,0,0,2520,20
Samuele Mulattieri,Italy,Attack,right,183.0,IT1,US Sassuolo,4000000.0,1,0,2,1,686,24
Hannes Delcroix,Belgium,Defender,left,183.0,BE1,RSC Anderlecht,4000000.0,2,0,0,0,862,25
Belloumi,Algeria,Attack,left,177.0,PO1,SC Farense,4000000.0,3,0,7,5,2169,22
Tom Cannon,Ireland,Attack,right,180.0,GB1,Everton FC,4000000.0,1,0,1,1,178,22
Kevin Volland,Germany,Attack,left,179.0,FR1,AS Monaco,4000000.0,3,1,4,5,1650,32
Wesley Saïd,France,Attack,right,171.0,FR1,RC Lens,4000000.0,4,0,7,2,1102,29
Kevin Diks,Netherlands,Defender,right,186.0,DK1,FC Copenhagen,4000000.0,7,0,1,2,3265,28
Jon Guridi,Spain,Midfield,left,179.0,ES1,Deportivo Alavés,4000000.0,2,0,3,4,2724,29
Oleksandr Tymchyk,Ukraine,Defender,right,180.0,UKR1,Dynamo Kyiv,4000000.0,4,1,2,0,2126,28
Mika Godts,Belgium,Attack,right,176.0,NL1,Ajax Amsterdam,4000000.0,0,0,0,2,624,19
Valentin Rosier,France,Defender,right,175.0,TR1,Besiktas JK,4000000.0,6,0,0,2,1497,28
Wilson Isidor,France,Attack,right,186.0,RU1,Lokomotiv Moscow,4000000.0,2,0,4,1,921,24
Felix Agu,Germany,Defender,right,180.0,L1,SV Werder Bremen,4000000.0,2,0,0,3,1624,25
Jacob Brown,Scotland,Attack,right,178.0,GB1,Luton Town,4000000.0,4,0,3,0,1142,26
Christopher Operi,Cote d'Ivoire,Defender,left,183.0,FR1,Le Havre AC,4000000.0,6,0,3,5,2447,27
Skelly Alvero,France,Midfield,right,202.0,FR1,Olympique Lyon,4000000.0,3,0,2,0,546,22
Bénie Traoré,Cote d'Ivoire,Attack,right,172.0,FR1,FC Nantes,4000000.0,1,1,0,1,929,22
Ondrej Duda,Slovakia,Midfield,right,180.0,IT1,Hellas Verona,4000000.0,14,0,1,4,2483,30
Aleksandr Soldatenkov,Russia,Defender,right,189.0,RU1,Krylya Sovetov Samara,4000000.0,2,1,0,1,2679,28
Pierluigi Gollini,Italy,Goalkeeper,right,194.0,IT1,SSC Napoli,4000000.0,0,0,0,0,900,29
Ylber Ramadani,Albania,Midfield,right,185.0,IT1,US Lecce,4000000.0,13,0,1,0,3157,28
Leonardo Spinazzola,Italy,Defender,right,186.0,IT1,AS Roma,4000000.0,3,0,1,4,2067,31
Miguel Crespo,Portugal,Midfield,right,186.0,TR1,Fenerbahce,4000000.0,7,0,0,1,1234,28
Falaye Sacko,Mali,Defender,right,180.0,FR1,Montpellier HSC,4000000.0,0,0,0,1,1380,29
Cher Ndour,Italy,Midfield,both,190.0,PO1,SC Braga,4000000.0,3,0,1,0,309,20
Paulo Gazzaniga,Argentina,Goalkeeper,right,195.0,ES1,Girona FC,4000000.0,2,0,0,0,3420,33
Héctor Bellerín,Spain,Defender,right,178.0,ES1,Real Betis Balompié,4000000.0,0,1,0,1,1967,29
Álex Sola,Spain,Attack,right,178.0,ES1,Deportivo Alavés,4000000.0,3,0,0,4,1606,25
Dion Beljo,Croatia,Attack,left,195.0,L1,FC Augsburg,4000000.0,2,0,2,0,590,22
Harold Moukoudi,Cameroon,Defender,right,191.0,GR1,AEK Athens,4000000.0,3,0,1,0,1359,27
Riechedly Bazoer,Netherlands,Defender,right,184.0,NL1,AZ Alkmaar,4000000.0,5,0,0,1,2996,28
Anthony Lopes,Portugal,Goalkeeper,left,184.0,FR1,Olympique Lyon,4000000.0,0,0,0,0,2790,34
Lucas Höler,Germany,Attack,right,184.0,L1,SC Freiburg,4000000.0,9,0,7,5,3195,30
Marcos Antônio,Brazil,Midfield,right,166.0,GR1,PAOK Thessaloniki,4000000.0,0,0,2,0,511,24
Manuel Neuer,Germany,Goalkeeper,right,193.0,L1,Bayern Munich,4000000.0,1,0,0,0,2954,38
Ludwig Augustinsson,Sweden,Defender,left,181.0,BE1,RSC Anderlecht,4000000.0,2,0,0,3,1632,30
Alessio Zerbin,Italy,Attack,right,182.0,IT1,AC Monza,4000000.0,3,0,2,1,897,25
Denis Drăguș,Romania,Attack,right,185.0,TR1,Gaziantep FK,4000000.0,9,0,15,2,3072,25
Kaio Jorge,Brazil,Attack,right,182.0,IT1,Frosinone Calcio,4000000.0,2,0,3,1,913,23
Gianluca Caprari,Italy,Attack,right,171.0,IT1,AC Monza,4000000.0,0,0,0,0,344,31
Suso,Spain,Attack,left,177.0,ES1,Sevilla FC,4000000.0,5,1,1,5,1753,31
Cristian Cásseres Jr.,Venezuela,Midfield,right,176.0,FR1,FC Toulouse,4000000.0,2,0,1,3,2526,25
Tadeo Allende,Argentina,Attack,right,183.0,ES1,Celta de Vigo,4000000.0,1,0,1,0,330,25
Philip Zinckernagel,Denmark,Attack,right,175.0,BE1,Club Brugge KV,4000000.0,3,0,6,7,1793,30
Ulisses Garcia,Switzerland,Defender,left,182.0,FR1,Olympique Marseille,4000000.0,1,0,0,0,1410,29
Frédéric Guilbert,France,Defender,right,178.0,FR1,RC Strasbourg Alsace,4000000.0,3,0,2,0,2493,30
Carlos Vinícius,Brazil,Attack,left,190.0,TR1,Galatasaray,4000000.0,5,0,4,1,542,29
Tom Krauß,Germany,Midfield,right,182.0,L1,1.FSV Mainz 05,4000000.0,5,0,1,2,1442,23
John Egan,Ireland,Defender,right,185.0,GB1,Sheffield United,4000000.0,2,0,0,0,574,32
Salih Uçan,Türkiye,Midfield,right,182.0,TR1,Besiktas JK,4000000.0,7,0,2,6,1983,31
Christopher Martins Pereira,Luxembourg,Midfield,right,188.0,RU1,Spartak Moscow,4000000.0,5,0,5,4,1887,27
Sasa Zdjelar,Serbia,Midfield,right,184.0,RU1,CSKA Moscow,4000000.0,6,0,1,0,3225,29
Kevin Mbabu,Switzerland,Defender,right,184.0,L1,FC Augsburg,4000000.0,5,0,0,2,2049,29
Bruno Varela,Cape Verde,Goalkeeper,right,191.0,PO1,Vitória Guimarães SC,4000000.0,2,0,0,0,2685,30
Eren Elmalı,Türkiye,Defender,left,181.0,TR1,Trabzonspor,4000000.0,9,0,0,1,3097,24
Marko Arnautovic,Austria,Attack,both,190.0,IT1,Bologna FC 1909,4000000.0,0,0,7,3,1149,35
Amos Pieper,Germany,Defender,right,192.0,L1,SV Werder Bremen,4000000.0,0,1,0,0,602,27
Loïc Lapoussin,Madagascar,Midfield,right,181.0,BE1,Union Saint-Gilloise,4000000.0,8,0,5,5,2707,28
Patric,Spain,Defender,right,184.0,IT1,SS Lazio,4000000.0,6,0,2,0,2224,31
Ayman Kari,France,Midfield,right,176.0,FR1,FC Lorient,4000000.0,1,0,1,1,902,20
Adam Ounas,Algeria,Attack,left,172.0,FR1,LOSC Lille,4000000.0,0,0,1,0,422,28
David Turnbull,Scotland,Midfield,right,185.0,SC1,Celtic FC,3800000.0,2,0,7,0,706,25
Berkan Kutlu,Türkiye,Midfield,left,186.0,TR1,Galatasaray,3800000.0,4,0,2,1,1746,27
Jayden Bogle,England,Defender,right,178.0,GB1,Sheffield United,3800000.0,9,0,3,1,2946,24
Andrea Petagna,Italy,Attack,left,190.0,IT1,Cagliari Calcio,3800000.0,2,0,1,2,1181,29
Luke McNally,Ireland,Defender,right,193.0,GB1,Burnley FC,3800000.0,1,0,0,0,167,25
Andreaw Gravillon,Guadeloupe,Defender,right,189.0,TR1,Adana Demirspor,3700000.0,7,1,2,1,3154,26
Serge Aurier,Cote d'Ivoire,Defender,right,176.0,TR1,Galatasaray,3700000.0,3,0,0,2,995,32
Taxiarchis Fountas,Greece,Attack,right,170.0,TR1,Trabzonspor,3700000.0,1,0,2,1,1133,29
Moi Gómez,Spain,Attack,right,176.0,ES1,CA Osasuna,3500000.0,4,0,3,0,2252,30
Kevin Kampl,Slovenia,Midfield,right,178.0,L1,RB Leipzig,3500000.0,4,0,1,2,1746,34
Niccolò Pisilli,Italy,Midfield,right,180.0,IT1,AS Roma,3500000.0,0,0,1,0,26,20
Igor Vujacic,Montenegro,Defender,right,189.0,RU1,Rubin Kazan,3500000.0,5,0,0,1,2705,30
Jordy Makengo,France,Defender,left,191.0,L1,SC Freiburg,3500000.0,1,0,0,1,1343,23
Giulio Maggiore,Italy,Midfield,right,184.0,IT1,US Salernitana 1919,3500000.0,10,0,4,2,1977,26
Lorenzo Montipò,Italy,Goalkeeper,right,191.0,IT1,Hellas Verona,3500000.0,0,0,0,1,3420,28
Lars Unnerstall,Germany,Goalkeeper,right,198.0,NL1,Twente Enschede FC,3500000.0,2,0,0,0,3540,34
Tom Bischof,Germany,Midfield,left,176.0,L1,TSG 1899 Hoffenheim,3500000.0,0,0,0,1,171,19
Lázaro,Brazil,Attack,right,181.0,ES1,UD Almería,3500000.0,0,0,0,0,375,22
Léo Dubois,France,Defender,right,178.0,TR1,Basaksehir FK,3500000.0,3,0,1,7,2342,30
Metinho,Brazil,Midfield,right,178.0,NL1,Sparta Rotterdam,3500000.0,3,0,2,1,1373,21
Julien Ponceau,France,Midfield,right,170.0,FR1,FC Lorient,3500000.0,5,0,3,2,2253,24
Samuele Birindelli,Italy,Defender,right,176.0,IT1,AC Monza,3500000.0,7,0,0,2,2016,25
Marco Brescianini,Italy,Midfield,left,188.0,IT1,Frosinone Calcio,3500000.0,1,0,4,2,2554,25
Edimilson Fernandes,Switzerland,Defender,right,187.0,L1,1.FSV Mainz 05,3500000.0,4,0,0,2,1444,28
Youri Regeer,Netherlands,Midfield,right,177.0,NL1,Twente Enschede FC,3500000.0,3,1,2,2,2009,21
Ilya Lantratov,Russia,Goalkeeper,right,194.0,RU1,Lokomotiv Moscow,3500000.0,2,0,0,0,3060,29
Dusan Tadic,Serbia,Attack,left,181.0,TR1,Fenerbahce,3500000.0,3,0,14,15,3664,36
Jean-Charles Castelletto,Cameroon,Defender,both,186.0,FR1,FC Nantes,3500000.0,5,0,2,0,2466,30
Ivan Rakitic,Croatia,Midfield,right,184.0,ES1,Sevilla FC,3500000.0,7,0,2,4,2037,36
Nicolás Marichal,Uruguay,Defender,right,185.0,RU1,Dynamo Moscow,3500000.0,6,0,0,0,2101,23
Nathan Ngoy,Belgium,Defender,right,183.0,BE1,Standard Liège,3500000.0,6,1,1,0,1182,21
André Silva,Brazil,Attack,left,181.0,PO1,Vitória Guimarães SC,3500000.0,6,0,15,2,3051,27
Fredrik Jensen,Finland,Midfield,right,183.0,L1,FC Augsburg,3500000.0,1,0,2,5,1352,27
Adam Obert,Slovakia,Defender,left,188.0,IT1,Cagliari Calcio,3500000.0,1,0,0,1,1224,22
Filipe Relvas,Portugal,Defender,left,192.0,PO1,Portimonense SC,3500000.0,4,1,2,3,2980,25
Armando Obispo,Netherlands,Defender,left,185.0,NL1,PSV Eindhoven,3500000.0,2,0,0,0,253,25
Adam Idah,Ireland,Attack,right,190.0,SC1,Celtic FC,3500000.0,2,0,9,2,950,23
Omar Colley,The Gambia,Defender,left,191.0,TR1,Besiktas JK,3500000.0,5,1,8,0,2385,32
Million Manhoef,Netherlands,Attack,left,179.0,NL1,Vitesse Arnhem,3500000.0,0,1,4,1,1703,23
Mohamed Kaba,France,Midfield,right,185.0,IT1,US Lecce,3500000.0,4,0,0,0,1383,23
Elvis Rexhbecaj,Kosovo,Midfield,left,182.0,L1,FC Augsburg,3500000.0,4,0,2,0,2024,27
Aitor Ruibal,Spain,Attack,right,176.0,ES1,Real Betis Balompié,3500000.0,7,0,3,3,1584,28
Andrey Mostovoy,Russia,Attack,right,180.0,RU1,Zenit St. Petersburg,3500000.0,1,0,3,2,1434,27
